"","Geo_FIPS","cl2000","cl2010","cl2014","change"
"1",6001400100,1,1,1,0
"2",6001400100,1,1,1,0
"3",6001400100,1,1,1,0
"4",6001400200,0,3,1,2
"5",6001400200,1,3,1,2
"6",6001400300,0,3,2,2
"7",6001400400,0,3,2,2
"8",6001400500,2,3,3,1
"9",6001400600,2,3,3,1
"10",6001400700,2,3,3,1
"11",6001400800,2,3,3,1
"12",6001400900,2,3,3,1
"13",6001401000,2,3,3,1
"14",6001401100,2,3,3,1
"15",6001401200,2,3,2,2
"16",6001401300,3,7,4,2
"17",6001401400,0,3,3,1
"18",6001401400,3,3,3,0
"19",6001401500,0,3,3,1
"20",6001401600,0,3,3,1
"21",6001401700,0,3,5,2
"22",6001401800,0,3,3,1
"23",6001402200,0,3,3,1
"24",6001402400,0,3,6,2
"25",6001402500,0,3,6,2
"26",6001402700,0,3,3,1
"27",6001402700,0,3,3,1
"28",6001402700,3,3,3,0
"29",6001402800,0,3,4,2
"30",6001402800,3,3,4,1
"31",6001402900,3,7,4,2
"32",6001403000,2,7,7,1
"33",6001403100,3,7,4,2
"34",6001403300,2,7,5,2
"35",6001403400,6,5,4,2
"36",6001403600,6,5,5,1
"37",6001403800,0,3,2,2
"38",6001403900,6,5,5,1
"39",6001404000,6,5,5,1
"40",6001404200,1,1,1,0
"41",6001404300,1,1,1,0
"42",6001404400,1,1,1,0
"43",6001404501,1,1,1,0
"44",6001404501,1,1,1,0
"45",6001404502,1,1,1,0
"46",6001404600,1,1,1,0
"47",6001404700,1,3,1,2
"48",6001404800,0,3,2,2
"49",6001404900,0,4,2,2
"50",6001405000,0,3,1,2
"51",6001405000,6,3,1,2
"52",6001405000,0,3,1,2
"53",6001405100,1,1,1,0
"54",6001405200,6,4,2,2
"55",6001405500,2,7,8,2
"56",6001405600,2,7,3,2
"57",6001405700,2,7,3,2
"58",6001405800,2,4,8,2
"59",6001405800,2,4,8,2
"60",6001406000,0,4,4,1
"61",6001406000,2,4,4,1
"62",6001406100,0,7,9,2
"63",6001406201,0,8,8,1
"64",6001406202,0,8,6,2
"65",6001406300,2,4,8,2
"66",6001406400,0,3,3,1
"67",6001406500,2,4,8,2
"68",6001406700,0,3,10,2
"69",6001406800,0,3,10,2
"70",6001406900,0,3,3,1
"71",6001407000,2,4,8,2
"72",6001407200,0,8,6,2
"73",6001407300,0,4,9,2
"74",6001407400,0,8,6,2
"75",6001407500,0,3,6,2
"76",6001407600,0,3,3,1
"77",6001407700,2,3,3,1
"78",6001407800,2,3,3,1
"79",6001407900,0,3,10,2
"80",6001407900,0,3,10,2
"81",6001408000,1,3,10,2
"82",6001408100,0,3,10,2
"83",6001408200,2,3,3,1
"84",6001408300,2,3,3,1
"85",6001408400,0,3,6,2
"86",6001408500,0,3,6,2
"87",6001408500,0,3,6,2
"88",6001408600,0,3,6,2
"89",6001408700,0,3,6,2
"90",6001408800,0,3,6,2
"91",6001408900,0,3,6,2
"92",6001408900,0,3,6,2
"93",6001408900,0,3,6,2
"94",6001409000,0,3,6,2
"95",6001409000,0,3,6,2
"96",6001409100,0,3,6,2
"97",6001409200,0,3,6,2
"98",6001409200,0,3,6,2
"99",6001409300,0,3,6,2
"100",6001409300,0,3,6,2
"101",6001409400,0,8,6,2
"102",6001409500,0,8,6,2
"103",6001409600,0,3,6,2
"104",6001409700,0,3,6,2
"105",6001409800,2,3,3,1
"106",6001409900,0,3,3,1
"107",6001410000,0,3,3,1
"108",6001410000,0,3,3,1
"109",6001410000,0,3,3,1
"110",6001410100,0,3,3,1
"111",6001410200,0,3,6,2
"112",6001410300,0,3,6,2
"113",6001410400,0,3,6,2
"114",6001420100,1,3,1,2
"115",6001420200,0,3,2,2
"116",6001420300,0,4,2,2
"117",6001420500,0,3,2,2
"118",6001420600,1,3,1,2
"119",6001421100,1,1,1,0
"120",6001421200,1,1,1,0
"121",6001421200,1,1,1,0
"122",6001421300,1,3,1,2
"123",6001421400,1,3,1,2
"124",6001421500,1,3,1,2
"125",6001421600,1,3,1,2
"126",6001421600,1,3,1,2
"127",6001421700,0,3,5,2
"128",6001421800,1,3,1,2
"129",6001421900,0,3,1,2
"130",6001422000,2,3,5,2
"131",6001422100,2,4,2,2
"132",6001422200,2,4,5,2
"133",6001422300,0,3,5,2
"134",6001422400,2,12,11,2
"135",6001422500,2,3,5,2
"136",6001422700,2,12,4,2
"137",6001422800,3,12,4,2
"138",6001422900,2,12,11,2
"139",6001423000,0,3,5,2
"140",6001423100,2,4,2,2
"141",6001423200,2,3,3,1
"142",6001423300,2,3,3,1
"143",6001423400,2,4,2,2
"144",6001423500,2,3,3,1
"145",6001423601,0,3,5,2
"146",6001423602,2,12,11,2
"147",6001423700,0,3,5,2
"148",6001423800,1,1,1,0
"149",6001423901,2,3,2,2
"150",6001423902,0,3,2,2
"151",6001424001,2,3,3,1
"152",6001424002,2,3,3,1
"153",6001426100,1,1,1,0
"154",6001426200,1,1,1,0
"155",6001427100,0,3,1,2
"156",6001427200,2,4,2,2
"157",6001427300,0,5,12,2
"158",6001427600,2,7,4,2
"159",6001427700,0,4,2,2
"160",6001427800,0,4,2,2
"161",6001427900,0,4,2,2
"162",6001428000,6,7,5,2
"163",6001428100,0,4,10,2
"164",6001428200,0,4,10,2
"165",6001428301,0,10,13,2
"166",6001428302,0,12,13,2
"167",6001428400,6,5,2,2
"168",6001428500,0,5,5,1
"169",6001428600,0,5,5,1
"170",6001430200,0,3,10,2
"171",6001430200,0,3,10,2
"172",6001430300,0,3,10,2
"173",6001430400,0,3,10,2
"174",6001430400,0,3,10,2
"175",6001430500,0,12,12,1
"176",6001430500,0,12,12,1
"177",6001430600,0,12,10,2
"178",6001430700,0,3,14,2
"179",6001430700,0,3,14,2
"180",6001430800,0,12,10,2
"181",6001430800,0,12,10,2
"182",6001430900,0,7,12,2
"183",6001430900,0,7,12,2
"184",6001431000,0,7,9,2
"185",6001431000,0,7,9,2
"186",6001431100,0,7,12,2
"187",6001431200,0,7,12,2
"188",6001432100,0,3,10,2
"189",6001432100,0,3,10,2
"190",6001432200,0,3,3,1
"191",6001432300,0,7,12,2
"192",6001432400,0,10,9,2
"193",6001432400,0,10,9,2
"194",6001432600,0,7,12,2
"195",6001432700,0,3,10,2
"196",6001432800,0,3,10,2
"197",6001432800,0,3,10,2
"198",6001432800,0,3,10,2
"199",6001433000,0,12,12,1
"200",6001433102,0,7,12,2
"201",6001433200,0,3,12,2
"202",6001433200,0,3,12,2
"203",6001433300,0,12,12,1
"204",6001433400,0,4,10,2
"205",6001433400,0,4,10,2
"206",6001433500,0,12,12,1
"207",6001433600,0,7,12,2
"208",6001433700,0,8,9,2
"209",6001433800,0,10,9,2
"210",6001433900,0,7,6,2
"211",6001434000,0,3,6,2
"212",6001435102,0,12,10,2
"213",6001435200,0,12,12,1
"214",6001435300,0,3,9,2
"215",6001435400,0,7,12,2
"216",6001435500,0,7,9,2
"217",6001435700,0,12,12,1
"218",6001435800,0,12,12,1
"219",6001436000,0,12,12,1
"220",6001436100,0,7,12,2
"221",6001436200,0,3,6,2
"222",6001436300,0,7,9,2
"223",6001436401,0,12,12,1
"224",6001436402,0,12,10,2
"225",6001436500,0,7,9,2
"226",6001436500,0,7,9,2
"227",6001436601,0,7,9,2
"228",6001436602,0,7,9,2
"229",6001436700,0,8,9,2
"230",6001436800,0,7,9,2
"231",6001436900,0,7,9,2
"232",6001437000,0,10,12,2
"233",6001437200,0,10,10,1
"234",6001437300,0,10,9,2
"235",6001437500,0,8,6,2
"236",6001437600,0,10,9,2
"237",6001437800,0,10,10,1
"238",6001437900,0,3,9,2
"239",6001438000,0,12,12,1
"240",6001438100,0,10,12,2
"241",6001438201,0,10,9,2
"242",6001438300,2,10,9,2
"243",6001438400,0,12,12,1
"244",6001440100,0,10,12,2
"245",6001440200,0,8,9,2
"246",6001440301,0,10,12,2
"247",6001440304,0,10,10,1
"248",6001440306,0,10,10,1
"249",6001440307,0,10,12,2
"250",6001440308,0,10,10,1
"251",6001440331,0,10,10,1
"252",6001441100,0,12,10,2
"253",6001441200,0,10,10,1
"254",6001441301,0,12,10,2
"255",6001441302,0,10,10,1
"256",6001441401,0,10,10,1
"257",6001441402,0,12,10,2
"258",6001441402,0,12,10,2
"259",6001441501,0,12,13,2
"260",6001441503,0,12,13,2
"261",6001441521,0,12,13,2
"262",6001441522,0,12,10,2
"263",6001441601,0,10,12,2
"264",6001441602,0,10,10,1
"265",6001441700,0,12,10,2
"266",6001441800,0,10,10,1
"267",6001441921,0,5,10,2
"268",6001441923,0,7,5,2
"269",6001442000,0,12,13,2
"270",6001442100,0,12,13,2
"271",6001442200,0,12,13,2
"272",6001442400,0,10,12,2
"273",6001442500,0,10,12,2
"274",6001442700,0,12,10,2
"275",6001442800,0,10,10,1
"276",6001442900,0,10,10,1
"277",6001443001,0,12,10,2
"278",6001443002,0,10,10,1
"279",6001443102,0,12,13,2
"280",6001443103,0,12,13,2
"281",6001443200,0,12,13,2
"282",6001443200,0,12,13,2
"283",6001443301,0,12,13,2
"284",6001443301,0,12,13,2
"285",6001444100,0,12,10,2
"286",6001444200,0,10,10,1
"287",6001444400,0,10,9,2
"288",6001444500,0,10,10,1
"289",6001450200,0,5,10,2
"290",6001450300,0,12,10,2
"291",6001450400,0,12,10,2
"292",6001450601,1,1,10,1
"293",6001450602,0,12,10,2
"294",6001450603,0,12,10,2
"295",6001450604,0,1,10,2
"296",6001450605,0,3,10,2
"297",6001450606,0,12,10,2
"298",6001450607,0,5,2,2
"299",6001450701,1,1,1,0
"300",6001450701,1,1,1,0
"301",6001450701,0,1,1,1
"302",6001450741,0,3,10,2
"303",6001450742,0,12,10,2
"304",6001451101,0,12,10,2
"305",6001451102,0,1,1,1
"306",6001451201,0,12,10,2
"307",6001451201,0,12,10,2
"308",6001451202,0,12,10,2
"309",6001451202,0,12,10,2
"310",6001451202,0,12,10,2
"311",6001451300,0,12,10,2
"312",6001451401,0,12,10,2
"313",6001451501,0,3,10,2
"314",6001451503,0,12,10,2
"315",6001451601,0,12,10,2
"316",6001451602,0,12,10,2
"317",6013301000,0,12,12,1
"318",6013305000,0,2,3,2
"319",6013305000,0,2,3,2
"320",6013306002,0,12,12,1
"321",6013307101,0,12,12,1
"322",6013307101,0,12,12,1
"323",6013307102,0,7,9,2
"324",6013307201,0,3,3,1
"325",6013307202,0,3,6,2
"326",6013307204,0,12,12,1
"327",6013307205,0,8,9,2
"328",6013308001,0,12,12,1
"329",6013308002,0,12,10,2
"330",6013309000,0,12,12,1
"331",6013310000,0,8,6,2
"332",6013311000,0,8,6,2
"333",6013312000,0,8,9,2
"334",6013313101,0,8,6,2
"335",6013313102,0,8,12,2
"336",6013313103,0,12,12,1
"337",6013314102,0,10,9,2
"338",6013314102,0,10,9,2
"339",6013314103,0,8,6,2
"340",6013314104,0,8,6,2
"341",6013314200,0,8,9,2
"342",6013314200,0,8,9,2
"343",6013314200,0,8,9,2
"344",6013315000,0,12,10,2
"345",6013315000,0,12,10,2
"346",6013315000,0,12,10,2
"347",6013316000,0,2,3,2
"348",6013316000,0,2,3,2
"349",6013317000,0,7,3,2
"350",6013318000,0,3,14,2
"351",6013318000,0,3,14,2
"352",6013319000,0,3,3,1
"353",6013320001,0,12,12,1
"354",6013320001,0,12,12,1
"355",6013321101,0,12,12,1
"356",6013321102,0,3,10,2
"357",6013321102,0,3,10,2
"358",6013321102,0,3,10,2
"359",6013321103,0,3,10,2
"360",6013321103,1,3,10,2
"361",6013321200,0,5,5,1
"362",6013322000,0,3,10,2
"363",6013323000,0,3,14,2
"364",6013325000,0,3,14,2
"365",6013325000,0,3,14,2
"366",6013326000,0,3,14,2
"367",6013327000,0,7,12,2
"368",6013327000,0,7,12,2
"369",6013328000,0,7,5,2
"370",6013329000,0,12,3,2
"371",6013330000,0,12,3,2
"372",6013331000,0,12,3,2
"373",6013332000,0,12,10,2
"374",6013333200,0,12,12,1
"375",6013334001,0,12,3,2
"376",6013334004,0,5,12,2
"377",6013335000,0,12,3,2
"378",6013336101,0,8,6,2
"379",6013336102,0,8,6,2
"380",6013337100,0,12,10,2
"381",6013337200,0,12,3,2
"382",6013337300,0,3,1,2
"383",6013338201,0,1,1,1
"384",6013338301,0,1,1,1
"385",6013338302,0,1,1,1
"386",6013340001,0,3,10,2
"387",6013340001,0,3,10,2
"388",6013340002,0,1,1,1
"389",6013341000,0,3,14,2
"390",6013343001,0,3,10,2
"391",6013343002,0,3,1,2
"392",6013343003,0,3,1,2
"393",6013343003,0,3,1,2
"394",6013345101,0,12,10,2
"395",6013345102,0,12,10,2
"396",6013345103,0,12,14,2
"397",6013345105,0,12,1,2
"398",6013345108,0,12,13,2
"399",6013345202,0,12,10,2
"400",6013345202,0,12,10,2
"401",6013346101,1,1,1,0
"402",6013346102,1,1,1,0
"403",6013346201,1,1,1,0
"404",6013347000,1,1,1,0
"405",6013347000,0,1,1,1
"406",6013348000,1,1,1,0
"407",6013348000,1,1,1,0
"408",6013349000,0,3,1,2
"409",6013350000,0,3,1,2
"410",6013351200,1,1,1,0
"411",6013352101,0,1,1,1
"412",6013352102,1,1,1,0
"413",6013352201,0,1,1,1
"414",6013352202,1,3,1,2
"415",6013353001,1,1,1,0
"416",6013353001,1,1,1,0
"417",6013353002,1,1,1,0
"418",6013354001,1,1,1,0
"419",6013354002,1,1,1,0
"420",6013355200,0,12,10,2
"421",6013355301,0,12,10,2
"422",6013355302,1,1,1,0
"423",6013355304,0,12,10,2
"424",6013356001,0,10,10,1
"425",6013356001,0,10,10,1
"426",6013356002,0,12,10,2
"427",6013356002,0,12,10,2
"428",6013356002,0,12,10,2
"429",6013356002,1,12,10,2
"430",6013356002,0,12,10,2
"431",6013357000,0,3,14,2
"432",6013358000,0,12,12,1
"433",6013359102,0,12,12,1
"434",6013359202,0,12,10,2
"435",6013359202,0,12,10,2
"436",6013359203,0,12,10,2
"437",6013359203,0,12,10,2
"438",6013359204,0,12,10,2
"439",6013359204,0,12,10,2
"440",6013359204,0,12,10,2
"441",6013360200,0,12,12,1
"442",6013361000,1,12,12,1
"443",6013361000,0,12,12,1
"444",6013361000,0,12,12,1
"445",6013361000,0,12,12,1
"446",6013361000,1,12,12,1
"447",6013362000,0,3,10,2
"448",6013362000,0,3,10,2
"449",6013362000,0,3,10,2
"450",6013362000,0,3,10,2
"451",6013363000,0,12,12,1
"452",6013364002,0,12,9,2
"453",6013364002,0,12,9,2
"454",6013365002,0,3,6,2
"455",6013366001,0,10,9,2
"456",6013366002,0,8,9,2
"457",6013366002,0,8,9,2
"458",6013367100,2,3,12,2
"459",6013367100,0,3,12,2
"460",6013367200,0,10,9,2
"461",6013367200,2,10,9,2
"462",6013369001,0,7,6,2
"463",6013369002,0,12,9,2
"464",6013369002,0,12,9,2
"465",6013370000,0,3,12,2
"466",6013371000,0,7,9,2
"467",6013372000,0,8,6,2
"468",6013373000,0,8,9,2
"469",6013374000,0,7,9,2
"470",6013375000,0,8,6,2
"471",6013376000,0,3,6,2
"472",6013377000,0,3,9,2
"473",6013378000,0,3,14,2
"474",6013378000,0,3,14,2
"475",6013379000,0,3,6,2
"476",6013380000,0,7,5,2
"477",6013381000,0,3,6,2
"478",6013382000,2,3,6,2
"479",6013382000,0,3,6,2
"480",6013383000,0,4,2,2
"481",6013383000,0,4,2,2
"482",6013383000,2,4,2,2
"483",6013384000,0,3,1,2
"484",6013384000,0,3,1,2
"485",6013385100,1,3,1,2
"486",6013385200,0,3,1,2
"487",6013386000,2,7,5,2
"488",6013386000,0,7,5,2
"489",6013386000,0,7,5,2
"490",6013387000,0,4,2,2
"491",6013388000,0,4,2,2
"492",6013389100,0,4,2,2
"493",6013389200,2,7,5,2
"494",6013390100,1,3,1,2
"495",6013390100,1,3,1,2
"496",6013390200,0,3,1,2
"497",6013390200,1,3,1,2
"498",6013390200,1,3,1,2
"499",6013391000,1,3,1,2
"500",6013391000,1,3,1,2
"501",6013391000,1,3,1,2
"502",6013392000,1,3,1,2
"503",6013392000,0,3,1,2
"504",6041101100,0,3,1,2
"505",6041101200,0,3,10,2
"506",6041102100,0,3,1,2
"507",6041103100,0,3,14,2
"508",6041103200,0,12,10,2
"509",6041104101,0,12,10,2
"510",6041104102,0,12,12,1
"511",6041104200,0,3,10,2
"512",6041104200,0,3,10,2
"513",6041104300,0,3,14,2
"514",6041105000,0,12,10,2
"515",6041106001,0,7,2,2
"516",6041106001,0,7,2,2
"517",6041106002,0,12,10,2
"518",6041107000,0,1,1,1
"519",6041108100,0,1,1,1
"520",6041108200,0,7,10,2
"521",6041110100,0,7,1,2
"522",6041110200,1,3,1,2
"523",6041111000,0,7,10,2
"524",6041111000,1,7,10,2
"525",6041111000,0,7,10,2
"526",6041111000,1,7,10,2
"527",6041112100,0,7,10,2
"528",6041113000,0,3,14,2
"529",6041114100,0,3,14,2
"530",6041114100,0,3,14,2
"531",6041114200,0,3,14,2
"532",6041114200,0,3,14,2
"533",6041115000,0,1,1,1
"534",6041115000,0,1,1,1
"535",6041116000,0,3,1,2
"536",6041116000,0,3,1,2
"537",6041117000,1,3,14,2
"538",6041117000,0,3,14,2
"539",6041118100,1,1,1,0
"540",6041118100,1,1,1,0
"541",6041118100,0,1,1,1
"542",6041119100,1,1,1,0
"543",6041119100,1,1,1,0
"544",6041119100,1,1,1,0
"545",6041120000,1,3,1,2
"546",6041120000,0,3,1,2
"547",6041120000,1,3,1,2
"548",6041121100,0,3,1,2
"549",6041121100,0,3,1,2
"550",6041121100,1,3,1,2
"551",6041121200,0,3,1,2
"552",6041123000,1,1,1,0
"553",6041124100,1,1,1,0
"554",6041124200,1,1,1,0
"555",6041125000,0,3,2,2
"556",6041126100,1,1,1,0
"557",6041126100,1,1,1,0
"558",6041126200,0,3,1,2
"559",6041127000,1,1,1,0
"560",6041127000,1,1,1,0
"561",6041128100,1,1,1,0
"562",6041128200,1,1,1,0
"563",6041128200,1,1,1,0
"564",6041129000,2,7,4,2
"565",6041129000,1,7,4,2
"566",6041132100,0,3,14,2
"567",6041132200,0,3,14,2
"568",6041133000,0,3,14,2
"569",6041133000,0,3,14,2
"570",6055200201,0,7,9,2
"571",6055200202,0,7,9,2
"572",6055200203,0,7,9,2
"573",6055200400,0,3,10,2
"574",6055200501,0,8,9,2
"575",6055200503,0,7,9,2
"576",6055200703,0,3,14,2
"577",6055200802,0,12,12,1
"578",6055201200,0,12,12,1
"579",6055201300,0,3,14,2
"580",6055201500,0,3,14,2
"581",6055201700,0,3,10,2
"582",6055201800,0,12,14,2
"583",6055202000,0,12,12,1
"584",6055202000,0,12,12,1
"585",6075010100,0,5,5,1
"586",6075010200,0,3,2,2
"587",6075010300,6,3,5,2
"588",6075010400,6,3,5,2
"589",6075010500,0,5,5,1
"590",6075010600,6,5,7,2
"591",6075010700,2,7,7,1
"592",6075010800,6,5,5,1
"593",6075010900,6,3,2,2
"594",6075010900,6,3,2,2
"595",6075011000,6,5,5,1
"596",6075011100,6,5,4,2
"597",6075011200,6,3,5,2
"598",6075011300,2,7,7,1
"599",6075011700,3,7,4,2
"600",6075011700,3,7,4,2
"601",6075011800,2,7,7,1
"602",6075012000,6,5,4,2
"603",6075012100,6,5,4,2
"604",6075012700,0,3,2,2
"605",6075012800,0,3,2,2
"606",6075012800,0,3,2,2
"607",6075013000,0,3,2,2
"608",6075013200,0,3,2,2
"609",6075013300,0,3,2,2
"610",6075013400,0,3,2,2
"611",6075013500,0,3,2,2
"612",6075015100,0,5,5,1
"613",6075015200,6,3,2,2
"614",6075015300,0,3,2,2
"615",6075015400,0,3,2,2
"616",6075015500,0,7,5,2
"617",6075015600,6,3,5,2
"618",6075015700,6,3,5,2
"619",6075015900,0,5,5,1
"620",6075016000,0,5,5,1
"621",6075016100,3,7,4,2
"622",6075016200,6,3,5,2
"623",6075016300,6,3,5,2
"624",6075016400,6,3,5,2
"625",6075016500,6,3,5,2
"626",6075016600,6,3,5,2
"627",6075016700,6,3,2,2
"628",6075016900,6,3,2,2
"629",6075017000,0,3,2,2
"630",6075017601,3,7,5,2
"631",6075017700,6,7,4,2
"632",6075017902,2,7,4,2
"633",6075018000,0,5,5,1
"634",6075020100,0,5,4,2
"635",6075020200,6,3,5,2
"636",6075020300,6,3,2,2
"637",6075020500,0,3,2,2
"638",6075020600,0,3,2,2
"639",6075020700,6,3,2,2
"640",6075020800,0,7,4,2
"641",6075020900,0,7,4,2
"642",6075021000,6,3,2,2
"643",6075021100,0,3,2,2
"644",6075021200,0,3,2,2
"645",6075021300,0,3,2,2
"646",6075021400,0,3,2,2
"647",6075021500,0,3,2,2
"648",6075021600,0,3,2,2
"649",6075021700,0,3,2,2
"650",6075021800,0,3,2,2
"651",6075022702,0,3,2,2
"652",6075022801,0,7,4,2
"653",6075022802,2,7,4,2
"654",6075022803,0,7,4,2
"655",6075022901,0,7,4,2
"656",6075022902,0,7,4,2
"657",6075022903,0,7,4,2
"658",6075023001,2,4,8,2
"659",6075023003,2,4,8,2
"660",6075023102,2,3,6,2
"661",6075023103,0,3,6,2
"662",6075023200,0,3,3,1
"663",6075023300,2,4,8,2
"664",6075023400,0,4,8,2
"665",6075025100,0,3,2,2
"666",6075025100,2,3,2,2
"667",6075025200,2,7,2,2
"668",6075025300,2,7,4,2
"669",6075025401,2,7,4,2
"670",6075025402,2,4,2,2
"671",6075025402,2,4,2,2
"672",6075025403,2,10,9,2
"673",6075025500,2,10,12,2
"674",6075025600,2,4,12,2
"675",6075025800,2,4,12,2
"676",6075025800,2,4,12,2
"677",6075025900,2,10,10,1
"678",6075026001,2,10,12,2
"679",6075026002,2,10,12,2
"680",6075026003,2,10,12,2
"681",6075026004,2,10,12,2
"682",6075026100,2,10,12,2
"683",6075026200,2,10,12,2
"684",6075026301,2,4,12,2
"685",6075026302,0,10,12,2
"686",6075026302,2,10,12,2
"687",6075026303,2,10,12,2
"688",6075026401,2,4,8,2
"689",6075026402,2,4,12,2
"690",6075026402,2,4,12,2
"691",6075026403,2,4,8,2
"692",6075026403,2,4,8,2
"693",6075026404,2,4,8,2
"694",6075030101,6,3,5,2
"695",6075030102,0,3,2,2
"696",6075030201,6,4,5,2
"697",6075030202,6,3,5,2
"698",6075030301,2,3,2,2
"699",6075030302,0,4,12,2
"700",6075030400,0,3,1,2
"701",6075030500,0,3,2,2
"702",6075030600,0,3,1,2
"703",6075030700,0,3,2,2
"704",6075030800,0,3,1,2
"705",6075030900,0,3,1,2
"706",6075031000,0,4,2,2
"707",6075031100,2,4,2,2
"708",6075031100,2,4,2,2
"709",6075031400,2,4,8,2
"710",6075032700,2,4,12,2
"711",6075033000,2,4,12,2
"712",6075033100,0,4,12,2
"713",6075033201,2,7,4,2
"714",6075035100,2,4,12,2
"715",6075035201,2,4,12,2
"716",6075035202,2,4,5,2
